id,designation,short,names,aliases,tags,type,type_label,code,constellation,ra_deg,dec_deg,major_arcmin,minor_arcmin,v_mag,sb,sb_basis,messier,caldwell,plannable,why_not,source
m1,M 1 · NGC 1952,M1,Crab Nebula,ngc1952|lbn833,,supernova-remnant,Supernova remnant,SNR,Taurus,83.63321,22.01447,8.00,4.00,8.40,20.79,derived,1,,1,,NGC1952
m2,M 2 · NGC 7089,M2,,ngc7089|mwsc3526,,globular-cluster,Globular cluster,GCl,Aquarius,323.36254,-0.82331,8.40,,6.25,19.50,derived,2,,1,,NGC7089
m3,M 3 · NGC 5272,M3,,ngc5272|mwsc2152,,globular-cluster,Globular cluster,GCl,Canes Venatici,205.54679,28.37544,16.20,,6.39,21.07,derived,3,,1,,NGC5272
m4,M 4 · NGC 6121,M4,,ngc6121|mwsc2396,,globular-cluster,Globular cluster,GCl,Scorpius,245.89750,-26.52553,28.20,,5.40,21.28,derived,4,,1,,NGC6121
m5,M 5 · NGC 5904,M5,,ngc5904|mwsc2286,,globular-cluster,Globular cluster,GCl,Serpens,229.64063,2.08269,15.00,,5.95,20.46,derived,5,,1,,NGC5904
m6,M 6 · NGC 6405,M6,Butterfly Cluster,ngc6405|mwsc2661,,open-cluster,Open cluster,OCl,Scorpius,265.08646,-32.25417,15.60,,4.20,18.79,derived,6,,1,,NGC6405
m7,M 7 · NGC 6475,M7,Ptolemy's Cluster,ngc6475|mwsc2739,,open-cluster,Open cluster,OCl,Scorpius,268.46325,-34.79283,22.20,,3.30,18.66,derived,7,,1,,NGC6475
m8,M 8 · NGC 6523 · NGC 6533 · Sh2-25,M8,Lagoon Nebula,ngc6523|ngc6533|lbn25|sh2-25,,emission-nebula,Nebula,Neb,Sagittarius,270.92196,-24.38017,45.00,30.00,5.80,22.25,derived,8,,1,,NGC6523
m9,M 9 · NGC 6333,M9,,ngc6333|mwsc2567,,globular-cluster,Globular cluster,GCl,Ophiuchus,259.79908,-18.51625,6.90,,8.42,21.24,derived,9,,1,,NGC6333
m10,M 10 · NGC 6254,M10,,ngc6254|mwsc2498,,globular-cluster,Globular cluster,GCl,Ophiuchus,254.28746,-4.09933,9.30,,4.98,18.45,derived,10,,1,,NGC6254
m11,M 11 · NGC 6705,M11,Wild Duck Cluster,ngc6705|mwsc3008,,open-cluster,Open cluster,OCl,Scutum,282.77496,-6.27003,9.00,,5.80,19.20,derived,11,,1,,NGC6705
m12,M 12 · NGC 6218,M12,,ngc6218|mwsc2464,,globular-cluster,Globular cluster,GCl,Ophiuchus,251.81050,-1.94783,11.10,,6.07,19.93,derived,12,,1,,NGC6218
m13,M 13 · NGC 6205,M13,Hercules Globular Cluster|Great Globular Cluster in Hercules,ngc6205|mwsc2445,,globular-cluster,Globular cluster,GCl,Hercules,250.42346,36.46131,16.50,,5.80,20.52,derived,13,,1,,NGC6205
m14,M 14 · NGC 6402,M14,,ngc6402|mwsc2643,,globular-cluster,Globular cluster,GCl,Ophiuchus,264.40067,-3.24592,9.90,,5.73,19.34,derived,14,,1,,NGC6402
m15,M 15 · NGC 7078,M15,,ngc7078|mwsc3518,,globular-cluster,Globular cluster,GCl,Pegasus,322.49325,12.16683,11.10,,6.30,20.16,derived,15,,1,,NGC7078
m16,M 16 · NGC 6611 · IC 4703 · Sh2-49,M16,Eagle Nebula|Star Queen,ngc6611|lbn67|mwsc2886|ic4703|sh2-49,,emission-nebula,Nebula,Neb,Serpens,274.70071,-13.80722,70.00,50.00,,22.50,typical,16,,1,,NGC6611
m17,M 17 · NGC 6618 · Sh2-45,M17,Lobster Nebula|Swan Nebula|Omega Nebula,ngc6618|lbn60|mwsc2896|sh2-45,,emission-nebula,Nebula,Neb,Sagittarius,275.19629,-16.17153,12.60,,7.00,21.13,derived,17,,1,,NGC6618
m18,M 18 · NGC 6613,M18,,ngc6613|mwsc2892,,open-cluster,Open cluster,OCl,Sagittarius,274.99371,-17.10197,6.00,,6.90,19.42,derived,18,,1,,NGC6613
m19,M 19 · NGC 6273,M19,,ngc6273|mwsc2519,,globular-cluster,Globular cluster,GCl,Ophiuchus,255.65700,-26.26794,7.50,,5.57,18.57,derived,19,,1,,NGC6273
m20,M 20 · NGC 6514,M20,Trifid Nebula,ngc6514|lbn27|mwsc2789,,emission-nebula,Nebula,Neb,Sagittarius,270.67546,-22.97189,28.00,28.00,,22.50,typical,20,,1,,NGC6514
m21,M 21 · NGC 6531,M21,,ngc6531|mwsc2796,,open-cluster,Open cluster,OCl,Sagittarius,271.05604,-22.49006,6.00,,5.90,18.42,derived,21,,1,,NGC6531
m22,M 22 · NGC 6656,M22,,ngc6656|mwsc2961,,globular-cluster,Globular cluster,GCl,Sagittarius,279.10083,-23.90342,12.60,,6.17,20.30,derived,22,,1,,NGC6656
m23,M 23 · NGC 6494,M23,,ngc6494|mwsc2757,,open-cluster,Open cluster,OCl,Sagittarius,269.26988,-18.98533,16.80,,5.50,20.26,derived,23,,1,,NGC6494
m24,M 24 · IC 4715,M24,Small Sagittarius Star Cloud|Sagittarius Star Cloud,ic4715,,other,Star cloud,*Ass,Sagittarius,274.23383,-18.51456,120.00,60.00,4.50,22.77,derived,24,,1,,IC4715
m25,M 25 · IC 4725,M25,,ic4725|mwsc2940,,open-cluster,Open cluster,OCl,Sagittarius,277.94488,-19.11494,14.10,,4.60,18.97,derived,25,,1,,IC4725
m26,M 26 · NGC 6694,M26,,ngc6694|mwsc2987,,open-cluster,Open cluster,OCl,Scutum,281.32775,-9.38361,6.00,,8.87,21.39,derived,26,,1,,NGC6694
m27,M 27 · NGC 6853,M27,Dumbbell Nebula|Apple Core Nebula,ngc6853,,planetary-nebula,Planetary nebula,PN,Vulpecula,299.90158,22.72103,6.70,,7.40,20.16,derived,27,,1,,NGC6853
m28,M 28 · NGC 6626,M28,,ngc6626|mwsc2908,,globular-cluster,Globular cluster,GCl,Sagittarius,276.13704,-24.86983,5.10,,6.90,19.07,derived,28,,1,,NGC6626
m29,M 29 · NGC 6913,M29,,ngc6913|mwsc3329,,open-cluster,Open cluster,OCl,Cygnus,305.99071,38.50767,3.60,,6.60,18.01,derived,29,,1,,NGC6913
m30,M 30 · NGC 7099,M30,,ngc7099|mwsc3543,,globular-cluster,Globular cluster,GCl,Capricornus,325.09175,-23.17908,9.00,,7.10,20.50,derived,30,,1,,NGC7099
m31,M 31 · NGC 224,M31,Andromeda Galaxy,ngc224|pgc2557|ugc454,,galaxy,Spiral galaxy,G,Andromeda,10.68479,41.26906,177.83,69.66,3.44,22.78,leda,31,,1,,NGC0224
m32,M 32 · NGC 221,M32,,ngc221|pgc2555|ugc452,,galaxy,Elliptical galaxy,G,Andromeda,10.67429,40.86528,7.74,4.86,8.13,21.41,leda,32,,1,,NGC0221
m33,M 33 · NGC 598,M33,Triangulum Galaxy|Triangulum Pinwheel,ngc598|pgc5818|ugc1117,,galaxy,Spiral galaxy,G,Triangulum,23.46204,30.66022,62.09,36.73,5.79,23.05,leda,33,,1,,NGC0598
m34,M 34 · NGC 1039,M34,,ngc1039|mwsc223,,open-cluster,Open cluster,OCl,Perseus,40.53083,42.74614,22.50,,5.20,20.59,derived,34,,1,,NGC1039
m35,M 35 · NGC 2168,M35,,ngc2168|mwsc754,,open-cluster,Open cluster,OCl,Gemini,92.27108,24.33864,24.00,,5.10,20.63,derived,35,,1,,NGC2168
m36,M 36 · NGC 1960,M36,,ngc1960|mwsc594,,open-cluster,Open cluster,OCl,Auriga,84.07392,34.14075,7.20,,6.00,18.92,derived,36,,1,,NGC1960
m37,M 37 · NGC 2099,M37,,ngc2099|mwsc689,,open-cluster,Open cluster,OCl,Auriga,88.07646,32.55300,11.40,,5.60,19.51,derived,37,,1,,NGC2099
m38,M 38 · NGC 1912,M38,Starfish Cluster,ngc1912|mwsc557,,open-cluster,Open cluster,OCl,Auriga,82.17704,35.85492,9.60,,6.40,19.94,derived,38,,1,,NGC1912
m39,M 39 · NGC 7092,M39,,ngc7092|mwsc3521,,open-cluster,Open cluster,OCl,Cygnus,322.95133,48.43817,19.50,,4.60,19.68,derived,39,,1,,NGC7092
m40,M 40,M40,,,,other,Double star,**,Ursa Major,185.56708,58.08444,,,8.00,22.50,typical,40,,0,"a double star, not an extended object -- there is no surface to expose for",M040
m41,M 41 · NGC 2287,M41,Little Beehive Cluster,ngc2287|mwsc978,,open-cluster,Open cluster,OCl,Canis Major,101.49975,-20.75422,12.00,,4.50,18.52,derived,41,,1,,NGC2287
m42,M 42 · NGC 1976 · Sh2-281,M42,Orion Nebula|Great Orion Nebula,ngc1976|lbn974|mwsc582|sh2-281,,cluster-nebula,Cluster with nebula,Cl+N,Orion,83.81867,-5.38967,90.00,60.00,4.00,21.96,derived,42,,1,,NGC1976
m43,M 43 · NGC 1982,M43,Mairan's Nebula,ngc1982,,emission-nebula,HII region,HII,Orion,83.88075,-5.26747,20.00,15.00,9.00,23.82,derived,43,,1,,NGC1982
m44,M 44 · NGC 2632,M44,Beehive Cluster|Praesepe Cluster,ngc2632|mwsc1527,,open-cluster,Open cluster,OCl,Cancer,130.09250,19.67206,108.60,,3.10,21.91,derived,44,,1,,NGC2632
m45,M 45 · Mel 22,M45,Pleiades,mel22|mwsc305,,reflection-nebula,Open cluster with reflection nebula,RfN,Taurus,56.86917,24.10528,150.00,150.00,,22.50,typical,45,,1,,Mel022
m46,M 46 · NGC 2437,M46,,ngc2437|mwsc1313,,open-cluster,Open cluster,OCl,Puppis,115.44508,-14.81000,21.00,,6.10,21.34,derived,46,,1,,NGC2437
m47,M 47 · NGC 2422 · NGC 2478,M47,,ngc2422|ngc2478|mwsc1278,,open-cluster,Open cluster,OCl,Puppis,114.14592,-14.48261,19.80,,4.40,19.51,derived,47,,1,,NGC2422
m48,M 48 · NGC 2548,M48,,ngc2548|mwsc1454,,open-cluster,Open cluster,OCl,Hydra,123.42992,-5.75044,28.20,,5.80,21.68,derived,48,,1,,NGC2548
m49,M 49 · NGC 4472,M49,,ngc4472|pgc41220|ugc7629,,galaxy,Elliptical galaxy,G,Virgo,187.44483,8.00047,10.21,8.38,8.28,22.18,leda,49,,1,,NGC4472
m50,M 50 · NGC 2323,M50,,ngc2323|mwsc1072,,open-cluster,Open cluster,OCl,Monoceros,105.66863,-8.36403,14.10,,5.90,20.27,derived,50,,1,,NGC2323
m51,M 51 · NGC 5194,M51,Whirlpool Galaxy,ngc5194|pgc47404|ugc8493,,galaxy,Spiral galaxy,G,Canes Venatici,202.46962,47.19517,13.71,11.67,7.86,22.15,leda,51,,1,,NGC5194
m52,M 52 · NGC 7654,M52,,ngc7654|mwsc3725,,open-cluster,Open cluster,OCl,Cassiopeia,351.20167,61.59317,9.90,,6.90,20.51,derived,52,,1,,NGC7654
m53,M 53 · NGC 5024,M53,,ngc5024|mwsc2094,,globular-cluster,Globular cluster,GCl,Coma Berenices,198.23012,18.16911,9.00,,7.79,21.19,derived,53,,1,,NGC5024
m54,M 54 · NGC 6715,M54,,ngc6715|mwsc3023,,globular-cluster,Globular cluster,GCl,Sagittarius,283.76363,-30.47850,5.10,,7.70,19.87,derived,54,,1,,NGC6715
m55,M 55 · NGC 6809,M55,,ngc6809|mwsc3150,,globular-cluster,Globular cluster,GCl,Sagittarius,294.99750,-30.96208,12.00,,6.49,20.51,derived,55,,1,,NGC6809
m56,M 56 · NGC 6779,M56,,ngc6779|mwsc3077,,globular-cluster,Globular cluster,GCl,Lyra,289.14796,30.18450,5.80,,8.40,20.85,derived,56,,1,,NGC6779
m57,M 57 · NGC 6720,M57,Ring Nebula,ngc6720,,planetary-nebula,Planetary nebula,PN,Lyra,283.39587,33.02858,1.27,,8.80,17.95,derived,57,,1,,NGC6720
m58,M 58 · NGC 4579,M58,,ngc4579|pgc42168|ugc7796,,galaxy,Spiral galaxy,G,Virgo,189.43133,11.81819,5.01,3.84,9.69,21.74,leda,58,,1,,NGC4579
m59,M 59 · NGC 4621,M59,,ngc4621|pgc42628|ugc7858,,galaxy,Elliptical galaxy,G,Virgo,190.50933,11.64703,4.55,3.21,9.56,21.70,leda,59,,1,,NGC4621
m60,M 60 · NGC 4649,M60,,ngc4649|pgc42831|ugc7898,,galaxy,Elliptical galaxy,G,Virgo,190.91658,11.55269,6.78,5.45,8.79,21.81,leda,60,,1,,NGC4649
m61,M 61 · NGC 4303,M61,,ngc4303|pgc40001|ugc7420,,galaxy,Spiral galaxy,G,Virgo,185.47875,4.47364,6.89,6.56,9.59,22.48,leda,61,,1,,NGC4303
m62,M 62 · NGC 6266,M62,,ngc6266|mwsc2512,,globular-cluster,Globular cluster,GCl,Ophiuchus,255.30250,-30.11236,7.80,,7.39,20.48,derived,62,,1,,NGC6266
m63,M 63 · NGC 5055,M63,Sunflower Galaxy,ngc5055|pgc46153|ugc8334,,galaxy,Spiral galaxy,G,Canes Venatici,198.95554,42.02928,11.83,7.16,8.61,22.33,leda,63,,1,,NGC5055
m64,M 64 · NGC 4826,M64,Black Eye Galaxy|Evil Eye Galaxy,ngc4826|pgc44182|ugc8062,,galaxy,Spiral galaxy,G,Coma Berenices,194.18183,21.68297,10.52,5.33,8.52,21.93,leda,64,,1,,NGC4826
m65,M 65 · NGC 3623,M65,,ngc3623|pgc34612|ugc6328,Leo Triplet,galaxy,Spiral galaxy,G,Leo,169.73300,13.09236,7.64,1.97,9.32,21.91,leda,65,,1,,NGC3623
m66,M 66 · NGC 3627,M66,,ngc3627|pgc34695|ugc6346,Leo Triplet,galaxy,Spiral galaxy,G,Leo,170.06233,12.99153,10.28,4.61,8.92,22.15,leda,66,,1,,NGC3627
m67,M 67 · NGC 2682,M67,,ngc2682|mwsc1585,,open-cluster,Open cluster,OCl,Cancer,132.83388,11.81194,33.00,,6.90,23.12,derived,67,,1,,NGC2682
m68,M 68 · NGC 4590,M68,,ngc4590|mwsc2059,,globular-cluster,Globular cluster,GCl,Hydra,189.86671,-26.74303,6.60,,7.96,20.69,derived,68,,1,,NGC4590
m69,M 69 · NGC 6634 · NGC 6637,M69,,ngc6637|ngc6634|mwsc2936,,globular-cluster,Globular cluster,GCl,Sagittarius,277.84679,-32.34797,5.70,,8.31,20.72,derived,69,,1,,NGC6637
m70,M 70 · NGC 6681,M70,,ngc6681|mwsc2981,,globular-cluster,Globular cluster,GCl,Sagittarius,280.80267,-32.29189,6.60,,9.06,21.79,derived,70,,1,,NGC6681
m71,M 71 · NGC 6838 · NGC 6839,M71,,ngc6838|ngc6839|mwsc3200,,globular-cluster,Globular cluster,GCl,Sagitta,298.44212,18.77839,6.90,,6.10,18.92,derived,71,,1,,NGC6838
m72,M 72 · NGC 6981,M72,,ngc6981|mwsc3419,,globular-cluster,Globular cluster,GCl,Aquarius,313.36629,-12.53706,4.50,,8.96,20.85,derived,72,,1,,NGC6981
m73,M 73 · NGC 6994,M73,,ngc6994,,other,Asterism,Other,Aquarius,314.73321,-12.63550,,,8.90,22.50,typical,73,,0,"an asterism of four unrelated stars, not an extended object",NGC6994
m74,M 74 · NGC 628,M74,Phantom Galaxy,ngc628|pgc5974|ugc1149,,galaxy,Spiral galaxy,G,Pisces,24.17396,15.78367,9.89,9.33,9.31,22.97,leda,74,,1,,NGC0628
m75,M 75 · NGC 6864,M75,,ngc6864|mwsc3254,,globular-cluster,Globular cluster,GCl,Sagittarius,301.52017,-21.92222,3.60,,8.26,19.67,derived,75,,1,,NGC6864
m76,M 76 · NGC 650 · NGC 651,M76,Barbell Nebula|Cork Nebula|Little Dumbbell Nebula,ngc650|ngc651,,planetary-nebula,Planetary nebula,PN,Perseus,25.58204,51.57547,1.12,,10.10,18.97,derived,76,,1,,NGC0650
m77,M 77 · NGC 1068,M77,Squid Galaxy|Cetus A,ngc1068|pgc10266|ugc2188,,galaxy,Spiral galaxy,G,Cetus,40.66963,-0.01328,6.11,5.61,9.29,21.90,leda,77,,1,,NGC1068
m78,M 78 · NGC 2068,M78,,ngc2068|mwsc664,,reflection-nebula,Reflection nebula,RfN,Orion,86.69092,0.07931,8.00,6.00,8.30,21.13,derived,78,,1,,NGC2068
m79,M 79 · NGC 1904,M79,,ngc1904|mwsc528,,globular-cluster,Globular cluster,GCl,Lepus,81.04413,-24.52422,7.20,,8.16,21.08,derived,79,,1,,NGC1904
m80,M 80 · NGC 6093,M80,,ngc6093|mwsc2376,,globular-cluster,Globular cluster,GCl,Scorpius,244.26046,-22.97511,5.70,,7.30,19.71,derived,80,,1,,NGC6093
m81,M 81 · NGC 3031,M81,Bode's Galaxy,ngc3031|pgc28630|ugc5318,Bode's Nebulae,galaxy,Spiral galaxy,G,Ursa Major,148.88821,69.06531,21.63,11.25,6.92,21.91,leda,81,,1,,NGC3031
m82,M 82 · NGC 3034,M82,Cigar Galaxy,ngc3034|pgc28655|ugc5322,Bode's Nebulae,galaxy,Galaxy,G,Ursa Major,148.96971,69.67939,10.99,5.11,8.30,21.58,leda,82,,1,,NGC3034
m83,M 83 · NGC 5236,M83,Southern Pinwheel Galaxy,ngc5236|eso444-81|pgc48082|ugca366,,galaxy,Spiral galaxy,G,Hydra,204.25396,-29.86542,13.61,13.21,7.21,21.59,leda,83,,1,,NGC5236
m84,M 84 · NGC 4374,M84,,ngc4374|pgc40455|ugc7494,Markarian's Chain,galaxy,Elliptical galaxy,G,Virgo,186.26558,12.88697,7.41,6.44,9.06,22.28,leda,84,,1,,NGC4374
m85,M 85 · NGC 4382,M85,,ngc4382|pgc40515|ugc7508,,galaxy,Lenticular galaxy,G,Coma Berenices,186.35046,18.19150,6.95,5.35,9.05,21.98,leda,85,,1,,NGC4382
m86,M 86 · NGC 4406,M86,,ngc4406|pgc40653|ugc7532,Markarian's Chain,galaxy,Elliptical galaxy,G,Virgo,186.54892,12.94622,11.53,8.43,8.86,23.02,leda,86,,1,,NGC4406
m87,M 87 · NGC 4486,M87,Virgo Galaxy|Virgo A,ngc4486|pgc41361|ugc7654,,galaxy,Elliptical galaxy,G,Virgo,187.70592,12.39111,7.11,6.67,9.00,22.14,leda,87,,1,,NGC4486
m88,M 88 · NGC 4501,M88,,ngc4501|pgc41517|ugc7675,,galaxy,Spiral galaxy,G,Coma Berenices,187.99650,14.42039,8.65,4.38,9.49,22.42,leda,88,,1,,NGC4501
m89,M 89 · NGC 4552,M89,,ngc4552|pgc41968|ugc7760,,galaxy,Elliptical galaxy,G,Virgo,188.91587,12.55633,8.13,8.00,10.08,23.51,leda,89,,1,,NGC4552
m90,M 90 · NGC 4569,M90,,ngc4569|pgc42089|ugc7786,,galaxy,Spiral galaxy,G,Virgo,189.20746,13.16294,9.12,3.82,9.54,22.52,leda,90,,1,,NGC4569
m91,M 91 · NGC 4548,M91,,ngc4548|pgc41934|ugc7753,,galaxy,Spiral galaxy,G,Coma Berenices,188.86021,14.49633,5.55,4.52,10.19,22.49,leda,91,,1,,NGC4548
m92,M 92 · NGC 6341,M92,,ngc6341|mwsc2557,,globular-cluster,Globular cluster,GCl,Hercules,259.28029,43.13653,14.40,,6.52,20.94,derived,92,,1,,NGC6341
m93,M 93 · NGC 2447,M93,,ngc2447|mwsc1324,,open-cluster,Open cluster,OCl,Puppis,116.12179,-23.85308,15.00,,6.20,20.71,derived,93,,1,,NGC2447
m94,M 94 · NGC 4736,M94,Croc's Eye Galaxy,ngc4736|pgc43495|ugc7996,,galaxy,Spiral galaxy,G,Canes Venatici,192.72108,41.12044,7.74,6.68,8.24,21.32,leda,94,,1,,NGC4736
m95,M 95 · NGC 3351,M95,,ngc3351|pgc32007|ugc5850,,galaxy,Spiral galaxy,G,Leo,160.99042,11.70381,7.23,4.45,9.77,22.45,leda,95,,1,,NGC3351
m96,M 96 · NGC 3368,M96,,ngc3368|pgc32192|ugc5882,,galaxy,Spiral galaxy,G,Leo,161.69058,11.81994,8.26,5.51,9.21,22.27,leda,96,,1,,NGC3368
m97,M 97 · NGC 3587,M97,Owl Nebula,ngc3587,,planetary-nebula,Planetary nebula,PN,Ursa Major,168.69879,55.01903,3.58,,9.90,21.30,derived,97,,1,,NGC3587
m98,M 98 · NGC 4192,M98,,ngc4192|pgc39028|ugc7231,,galaxy,Spiral galaxy,G,Coma Berenices,183.45121,14.90033,11.04,2.66,10.07,23.14,leda,98,,1,,NGC4192
m99,M 99 · NGC 4254,M99,Coma Pinwheel|Virgo Cluster Pinwheel,ngc4254|pgc39578|ugc7345,,galaxy,Spiral galaxy,G,Coma Berenices,184.70667,14.41650,5.04,4.74,9.84,22.04,leda,99,,1,,NGC4254
m100,M 100 · NGC 4321,M100,,ngc4321|pgc40153|ugc7450,,galaxy,Spiral galaxy,G,Coma Berenices,185.72846,15.82181,6.10,5.62,9.47,22.07,leda,100,,1,,NGC4321
m101,M 101 · NGC 5457,M101,Pinwheel Galaxy,ngc5457|pgc50063|ugc8981,,galaxy,Spiral galaxy,G,Ursa Major,210.80225,54.34894,23.99,23.07,7.90,23.51,leda,101,,1,,NGC5457
m103,M 103 · NGC 581,M103,,ngc581|mwsc124,,open-cluster,Open cluster,OCl,Cassiopeia,23.34088,60.65800,4.50,,7.40,19.29,derived,103,,1,,NGC0581
m104,M 104 · NGC 4594,M104,Sombrero Galaxy,ngc4594|pgc42407|ugca293,,galaxy,Spiral galaxy,G,Virgo,189.99762,-11.62306,8.45,4.91,8.59,21.70,leda,104,,1,,NGC4594
m105,M 105 · NGC 3379,M105,,ngc3379|pgc32256|ugc5902,,galaxy,Elliptical galaxy,G,Leo,161.95663,12.58161,4.89,4.25,9.27,21.58,leda,105,,1,,NGC3379
m106,M 106 · NGC 4258,M106,,ngc4258|pgc39600|ugc7353,,galaxy,Spiral galaxy,G,Canes Venatici,184.73958,47.30397,16.98,7.24,8.55,22.79,leda,106,,1,,NGC4258
m107,M 107 · NGC 6171,M107,,ngc6171|mwsc2422,,globular-cluster,Globular cluster,GCl,Ophiuchus,248.13300,-13.05364,7.80,,8.85,21.94,derived,107,,1,,NGC6171
m108,M 108 · NGC 3556,M108,Surfboard Galaxy,ngc3556|pgc34030|ugc6225,,galaxy,Spiral galaxy,G,Ursa Major,167.87904,55.67411,3.98,1.66,10.05,21.05,leda,108,,1,,NGC3556
m109,M 109 · NGC 3992,M109,,ngc3992|pgc37617|ugc6937,,galaxy,Spiral galaxy,G,Ursa Major,179.39992,53.37453,8.07,5.64,9.88,22.85,leda,109,,1,,NGC3992
m110,M 110 · NGC 205,M110,,ngc205|pgc2429|ugc426,,galaxy,Elliptical galaxy,G,Andromeda,10.09200,41.68531,16.22,9.59,8.15,23.03,leda,110,,1,,NGC0205
ngc24,NGC 24,NGC 24,,eso472-16|pgc701|ugca2,,galaxy,Spiral galaxy,G,Sculptor,2.48558,-24.96314,6.18,2.40,11.52,23.45,leda,,,1,,NGC0024
ngc40,NGC 40 · C 2,NGC 40,Bow-Tie Nebula,c2,,planetary-nebula,Planetary nebula,PN,Cepheus,3.25429,72.52194,0.80,,11.89,20.03,derived,,2,1,,NGC0040
ngc45,NGC 45,NGC 45,,eso473-1|pgc930|ugca4,,galaxy,Spiral galaxy,G,Cetus,3.51662,-23.18208,6.18,4.44,10.44,22.85,leda,,,1,,NGC0045
ngc50,NGC 50,NGC 50,,pgc983,,galaxy,Elliptical galaxy,G,Cetus,3.68571,-7.34508,2.04,1.17,11.84,22.21,leda,,,1,,NGC0050
ngc55,NGC 55 · C 72,NGC 55,,c72|eso293-50|pgc1014,,galaxy,Irregular galaxy,G,Sculptor,3.72333,-39.19664,29.85,3.05,7.94,22.07,leda,,72,1,,NGC0055
ngc57,NGC 57,NGC 57,,pgc1037|ugc145,,galaxy,Elliptical galaxy,G,Pisces,3.87862,17.32853,2.11,1.60,11.65,22.14,leda,,,1,,NGC0057
ngc104,NGC 104 · C 106,NGC 104,47 Tucanae,c106|mwsc38,,globular-cluster,Globular cluster,GCl,Tucana,6.02233,-72.08144,31.80,,4.09,20.23,derived,,106,1,,NGC0104
ngc128,NGC 128,NGC 128,,pgc1791|ugc292,,galaxy,Lenticular galaxy,G,Pisces,7.31275,2.86406,3.16,0.87,11.63,22.77,leda,,,1,,NGC0128
ngc129,NGC 129,NGC 129,,mwsc53,,open-cluster,Open cluster,OCl,Cassiopeia,7.49246,60.21117,5.40,,6.50,18.79,derived,,,1,,NGC0129
ngc134,NGC 134,NGC 134,,eso350-23|pgc1851,,galaxy,Spiral galaxy,G,Sculptor,7.59154,-33.24403,8.38,1.79,10.31,22.53,leda,,,1,,NGC0134
ngc147,NGC 147 · C 17,NGC 147,,c17|pgc2004|ugc326,,galaxy,Elliptical galaxy,G,Cassiopeia,8.30050,48.50875,9.40,5.41,9.72,23.41,leda,,17,1,,NGC0147
ngc150,NGC 150,NGC 150,,eso410-19|pgc2052|ugca7,,galaxy,Spiral galaxy,G,Sculptor,8.56450,-27.80358,3.54,1.60,11.41,22.31,leda,,,1,,NGC0150
ngc151,NGC 151 · NGC 153,NGC 151,,ngc153|pgc2035,,galaxy,Spiral galaxy,G,Cetus,8.51162,-9.70533,3.74,2.31,11.66,22.80,leda,,,1,,NGC0151
ngc157,NGC 157,NGC 157,,pgc2081,,galaxy,Spiral galaxy,G,Cetus,8.69483,-8.39644,3.70,1.90,10.32,21.38,leda,,,1,,NGC0157
ngc185,NGC 185 · C 18,NGC 185,,c18|pgc2329|ugc396,,galaxy,Elliptical galaxy,G,Cassiopeia,9.74154,48.33739,12.94,10.76,9.20,23.63,leda,,18,1,,NGC0185
ngc188,NGC 188 · C 1,NGC 188,,c1|mwsc74,,open-cluster,Open cluster,OCl,Cepheus,11.86471,85.26964,17.70,,8.10,22.97,derived,,1,1,,NGC0188
ngc210,NGC 210,NGC 210,,pgc2437,,galaxy,Spiral galaxy,G,Cetus,10.14592,-13.87281,4.98,3.02,11.12,22.98,leda,,,1,,NGC0210
ngc225,NGC 225,NGC 225,,mwsc68,,open-cluster,Open cluster,OCl,Cassiopeia,10.90158,61.76694,4.20,,7.00,18.74,derived,,,1,,NGC0225
ngc246,NGC 246 · C 56,NGC 246,Skull Nebula,c56,,planetary-nebula,Planetary nebula,PN,Cetus,11.76400,-11.87194,4.08,,10.90,22.58,derived,,56,1,,NGC0246
ngc247,NGC 247 · C 62,NGC 247,,c62|eso540-22|pgc2758|ugca11,,galaxy,Spiral galaxy,G,Cetus,11.78562,-20.76039,19.68,5.55,9.21,23.33,leda,,62,1,,NGC0247
ngc253,NGC 253 · C 65,NGC 253,Sculptor Galaxy|Silver Coin,c65|eso474-29|pgc2789|ugca13,,galaxy,Spiral galaxy,G,Sculptor,11.88800,-25.28822,26.79,4.58,7.37,21.85,leda,,65,1,,NGC0253
ngc254,NGC 254,NGC 254,,eso411-15|pgc2778,,galaxy,Lenticular galaxy,G,Sculptor,11.86504,-31.42175,2.77,1.80,11.67,22.58,leda,,,1,,NGC0254
ngc255,NGC 255,NGC 255,,pgc2802,,galaxy,Spiral galaxy,G,Cetus,11.94712,-11.46869,2.04,1.85,11.93,22.14,leda,,,1,,NGC0255
ngc266,NGC 266,NGC 266,,pgc2901|ugc508,,galaxy,Spiral galaxy,G,Pisces,12.44917,32.27772,2.92,2.83,11.82,22.85,leda,,,1,,NGC0266
ngc278,NGC 278,NGC 278,,pgc3051|ugc528,,galaxy,Spiral galaxy,G,Cassiopeia,13.01796,47.55050,2.36,2.30,10.85,21.44,leda,,,1,,NGC0278
ngc281,NGC 281 · IC 11 · Sh2-184,NGC 281,Pacman Nebula,ic11|lbn616|sh2-184,,emission-nebula,HII region,HII,Cassiopeia,13.24729,56.62189,35.00,30.00,,22.50,typical,,,1,,NGC0281
ngc288,NGC 288,NGC 288,,mwsc84,,globular-cluster,Globular cluster,GCl,Sculptor,13.19771,-26.58989,9.60,,8.13,21.67,derived,,,1,,NGC0288
