id,designation,short,names,aliases,tags,type,type_label,code,constellation,ra_deg,dec_deg,major_arcmin,minor_arcmin,v_mag,sb,sb_basis,messier,caldwell,plannable,why_not,source
ngc3511,NGC 3511,NGC 3511,,eso502-13|pgc33385|ugca223,,galaxy,Spiral galaxy,G,Crater,165.84904,-23.08678,6.04,2.00,11.02,22.77,leda,,,1,,NGC3511
ngc3513,NGC 3513,NGC 3513,,eso502-14|pgc33410|ugca224,,galaxy,Spiral galaxy,G,Crater,165.94200,-23.24550,2.81,1.28,11.37,21.71,leda,,,1,,NGC3513
ngc3519,NGC 3519,NGC 3519,,eso128-30|mwsc1885,,open-cluster,Open cluster,OCl,Carina,166.01154,-61.36825,4.80,,7.70,19.73,derived,,,1,,NGC3519
ngc3521,NGC 3521,NGC 3521,,pgc33550|ugc6150,,galaxy,Spiral galaxy,G,Leo,166.45242,-0.03586,8.32,4.47,9.11,21.96,leda,,,1,,NGC3521
ngc3532,NGC 3532 · C 91,NGC 3532,Wishing Well Cluster,c91|mwsc1890,,open-cluster,Open cluster,OCl,Carina,166.44925,-58.77050,12.00,,3.00,17.02,derived,,91,1,,NGC3532
ngc3557,NGC 3557,NGC 3557,,eso377-16|pgc33871,,galaxy,Elliptical galaxy,G,Centaurus,167.49017,-37.53917,4.36,3.43,10.42,22.47,leda,,,1,,NGC3557
ngc3572,NGC 3572,NGC 3572,,mwsc1906,,open-cluster,Open cluster,OCl,Carina,167.58000,-60.24836,4.08,,6.60,18.28,derived,,,1,,NGC3572
ngc3576,NGC 3576,NGC 3576,Statue of Liberty Nebula,,,emission-nebula,HII region,HII,Carina,167.88196,-61.36300,3.00,3.00,,22.50,typical,,,1,,NGC3576
ngc3579,NGC 3579,NGC 3579,,,,emission-nebula,Nebula,Neb,Carina,167.99833,-61.24322,20.00,15.00,,22.50,typical,,,1,,NGC3579
ngc3583,NGC 3583,NGC 3583,,pgc34232|ugc6263,,galaxy,Spiral galaxy,G,Ursa Major,168.54537,48.31853,2.24,1.26,11.42,21.68,leda,,,1,,NGC3583
ngc3585,NGC 3585,NGC 3585,,eso502-25|pgc34160,,galaxy,Elliptical galaxy,G,Hydra,168.32121,-26.75483,6.61,3.27,9.69,22.62,leda,,,1,,NGC3585
ngc3590,NGC 3590,NGC 3590,,mwsc1920,,open-cluster,Open cluster,OCl,Carina,168.24571,-60.78903,5.10,,8.20,20.37,derived,,,1,,NGC3590
ngc3593,NGC 3593,NGC 3593,,pgc34257|ugc6272,,galaxy,Lenticular galaxy,G,Leo,168.65417,12.81767,4.69,1.85,10.91,22.88,leda,,,1,,NGC3593
ngc3596,NGC 3596,NGC 3596,,pgc34298|ugc6277,,galaxy,Spiral galaxy,G,Leo,168.77588,14.78703,3.55,3.37,11.22,22.67,leda,,,1,,NGC3596
ngc3603,NGC 3603,NGC 3603,,mwsc1926,,cluster-nebula,Cluster with nebula,Cl+N,Carina,168.77746,-61.26122,3.30,,,22.50,typical,,,1,,NGC3603
ngc3607,NGC 3607,NGC 3607,,pgc34426|ugc6297,,galaxy,Elliptical galaxy,G,Leo,169.22767,18.05175,4.59,4.03,10.00,22.06,leda,,,1,,NGC3607
ngc3608,NGC 3608,NGC 3608,,pgc34433|ugc6299,,galaxy,Elliptical galaxy,G,Leo,169.24563,18.14869,3.18,2.67,10.63,22.01,leda,,,1,,NGC3608
ngc3610,NGC 3610,NGC 3610,,pgc34566|ugc6319,,galaxy,Elliptical galaxy,G,Ursa Major,169.60529,58.78628,2.39,2.37,10.77,21.53,leda,,,1,,NGC3610
ngc3613,NGC 3613,NGC 3613,,pgc34583|ugc6323,,galaxy,Elliptical galaxy,G,Ursa Major,169.65046,58.00000,3.55,1.78,10.81,22.38,leda,,,1,,NGC3613
ngc3619,NGC 3619,NGC 3619,,pgc34641|ugc6330,,galaxy,Lenticular galaxy,G,Ursa Major,169.83983,57.75783,3.89,3.08,11.63,23.30,leda,,,1,,NGC3619
ngc3621,NGC 3621,NGC 3621,,eso377-37|pgc34554|ugca232,,galaxy,Spiral galaxy,G,Hydra,169.56879,-32.81406,9.79,4.03,9.55,22.48,leda,,,1,,NGC3621
ngc3626,NGC 3626 · NGC 3632 · C 40,NGC 3626,,ngc3632|c40|pgc34684|ugc6343,,galaxy,Lenticular galaxy,G,Leo,170.01587,18.35683,2.94,1.94,10.98,22.04,leda,,40,1,,NGC3626
ngc3628,NGC 3628,NGC 3628,Hamburger Galaxy,pgc34697|ugc6350,Leo Triplet,galaxy,Spiral galaxy,G,Leo,170.07071,13.58969,11.04,3.44,9.45,22.61,leda,,,1,,NGC3628
ngc3631,NGC 3631,NGC 3631,,pgc34767|ugc6360,,galaxy,Spiral galaxy,G,Ursa Major,170.26196,53.16956,3.72,3.08,10.14,21.58,leda,,,1,,NGC3631
ngc3640,NGC 3640,NGC 3640,,pgc34778|ugc6368,,galaxy,Elliptical galaxy,G,Leo,170.27854,3.23483,4.33,3.81,10.41,22.45,leda,,,1,,NGC3640
ngc3642,NGC 3642,NGC 3642,,pgc34889|ugc6385,,galaxy,Spiral galaxy,G,Ursa Major,170.57454,59.07453,4.27,3.65,11.14,22.91,leda,,,1,,NGC3642
ngc3646,NGC 3646,NGC 3646,,pgc34836|ugc6376,,galaxy,Spiral galaxy,G,Leo,170.42950,20.16956,3.09,1.48,11.20,21.81,leda,,,1,,NGC3646
ngc3665,NGC 3665,NGC 3665,,pgc35064|ugc6426,,galaxy,Lenticular galaxy,G,Ursa Major,171.18196,38.76286,4.06,3.00,10.83,22.60,leda,,,1,,NGC3665
ngc3672,NGC 3672,NGC 3672,,pgc35088|ugca235,,galaxy,Spiral galaxy,G,Crater,171.26029,-9.79539,2.90,1.69,11.34,21.95,leda,,,1,,NGC3672
ngc3673,NGC 3673,NGC 3673,,eso503-16|pgc35097|ugca236,,galaxy,Spiral galaxy,G,Hydra,171.30354,-26.73672,3.48,2.32,11.57,22.74,leda,,,1,,NGC3673
ngc3675,NGC 3675,NGC 3675,,pgc35164|ugc6439,,galaxy,Spiral galaxy,G,Ursa Major,171.53575,43.58592,5.90,3.27,10.09,22.26,leda,,,1,,NGC3675
ngc3680,NGC 3680,NGC 3680,,mwsc1942,,open-cluster,Open cluster,OCl,Centaurus,171.40450,-43.25011,5.70,,7.60,20.01,derived,,,1,,NGC3680
ngc3684,NGC 3684,NGC 3684,,pgc35224|ugc6453,,galaxy,Spiral galaxy,G,Leo,171.79667,17.03017,2.29,1.50,11.81,22.02,leda,,,1,,NGC3684
ngc3686,NGC 3686,NGC 3686,,pgc35268|ugc6460,,galaxy,Spiral galaxy,G,Leo,171.93321,17.22419,2.88,2.18,11.43,22.25,leda,,,1,,NGC3686
ngc3690b,NGC 3690B · NGC 3690E,NGC 3690B,,ngc3690e|pgc35321|ugc6472,,galaxy,Irregular galaxy,G,Ursa Major,172.14012,58.56294,2.40,1.86,11.23,21.66,leda,,,1,,NGC3690B
ngc3699,NGC 3699,NGC 3699,,eso129-21,,planetary-nebula,Planetary nebula,PN,Centaurus,171.98812,-59.95806,0.75,,11.30,19.30,derived,,,1,,NGC3699
ngc3705,NGC 3705,NGC 3705,,pgc35440|ugc6498,,galaxy,Spiral galaxy,G,Leo,172.53108,9.27664,4.31,1.74,10.97,22.30,leda,,,1,,NGC3705
ngc3706,NGC 3706,NGC 3706,,eso378-6|pgc35417,,galaxy,Elliptical galaxy,G,Centaurus,172.43512,-36.39131,3.10,2.10,11.30,22.48,leda,,,1,,NGC3706
ngc3717,NGC 3717,NGC 3717,,eso439-15|pgc35539|ugca238,,galaxy,Spiral galaxy,G,Hydra,172.88329,-30.30775,6.52,2.04,11.23,23.23,leda,,,1,,NGC3717
ngc3718,NGC 3718,NGC 3718,,pgc35616|ugc6524,,galaxy,Spiral galaxy,G,Ursa Major,173.14521,53.06792,4.70,2.34,10.70,22.47,leda,,,1,,NGC3718
ngc3726,NGC 3726,NGC 3726,,pgc35676|ugc6537,,galaxy,Spiral galaxy,G,Ursa Major,173.33800,47.02919,5.27,3.54,10.09,22.13,leda,,,1,,NGC3726
ngc3729,NGC 3729,NGC 3729,,pgc35711|ugc6547,,galaxy,Spiral galaxy,G,Ursa Major,173.45550,53.12556,2.89,2.09,10.97,21.84,leda,,,1,,NGC3729
ngc3735,NGC 3735,NGC 3735,,pgc35869|ugc6567,,galaxy,Spiral galaxy,G,Draco,173.98875,70.53558,3.54,0.80,11.77,22.05,leda,,,1,,NGC3735
ngc3738,NGC 3738,NGC 3738,,pgc35856|ugc6565,,galaxy,Irregular galaxy,G,Ursa Major,173.95329,54.52389,2.26,1.63,11.10,21.32,leda,,,1,,NGC3738
ngc3766,NGC 3766 · C 97,NGC 3766,Pearl Cluster,c97|mwsc1958,,open-cluster,Open cluster,OCl,Centaurus,174.05996,-61.60517,6.90,,5.30,18.12,derived,,97,1,,NGC3766
ngc3769,NGC 3769,NGC 3769,,pgc35999|ugc6595,,galaxy,Spiral galaxy,G,Ursa Major,174.43379,47.89308,2.82,0.89,11.77,21.94,leda,,,1,,NGC3769
ngc3780,NGC 3780,NGC 3780,,pgc36138|ugc6615,,galaxy,Spiral galaxy,G,Ursa Major,174.84317,56.27067,2.64,2.17,11.56,22.24,leda,,,1,,NGC3780
ngc3783,NGC 3783,NGC 3783,,eso378-14|pgc36101,,galaxy,Spiral galaxy,G,Centaurus,174.75733,-37.73867,2.15,1.94,11.67,22.02,leda,,,1,,NGC3783
